Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.8685,0.7857142857142857,0.4864864864864865,0.6009104704097117,0.8682843089622752
Random Forest,0.8685,0.8243243243243243,0.44963144963144963,0.5818759936406995,0.8660617474176796
XGBoost,0.862,0.7490494296577946,0.48402948402948404,0.5880597014925373,0.8601266906351652
Decision Tree,0.859,0.7729257641921398,0.4348894348894349,0.5566037735849056,0.8374314221771849
Logistic Regression,0.809,0.5939849624060151,0.1941031941031941,0.29259259259259257,0.7731043832738748
